WELL,FROM_Cycle_1,TO_Cycle_1,Thickness_Cycle_1,Halite_Sum_Cycle_1,Insolubles_Percent_Cycle_1,Number_Interlayers_Cycle_1,Mean_Interlayers_Thickness_Cycle_1,Max_Interlayer_Thickness_Cycle_1,FROM_Cycle_2,TO_Cycle_2,Thickness_Cycle_2,Halite_Sum_Cycle_2,Insolubles_Percent_Cycle_2,Number_Interlayers_Cycle_2,Mean_Interlayers_Thickness_Cycle_2,Max_Interlayer_Thickness_Cycle_2,FROM_Cycle_2b,TO_Cycle_2b,Thickness_Cycle_2b,Halite_Sum_Cycle_2b,Insolubles_Percent_Cycle_2b,Number_Interlayers_Cycle_2b,Mean_Interlayers_Thickness_Cycle_2b,Max_Interlayer_Thickness_Cycle_2b,FROM_Cycle_3,TO_Cycle_3,Thickness_Cycle_3,Halite_Sum_Cycle_3,Insolubles_Percent_Cycle_3,Number_Interlayers_Cycle_3,Mean_Interlayers_Thickness_Cycle_3,Max_Interlayer_Thickness_Cycle_3,FROM_Cycle_3b,TO_Cycle_3b,Thickness_Cycle_3b,Halite_Sum_Cycle_3b,Insolubles_Percent_Cycle_3b,Number_Interlayers_Cycle_3b,Mean_Interlayers_Thickness_Cycle_3b,Max_Interlayer_Thickness_Cycle_3b,FROM_Cycle_4,TO_Cycle_4,Thickness_Cycle_4,Halite_Sum_Cycle_4,Insolubles_Percent_Cycle_4,Number_Interlayers_Cycle_4,Mean_Interlayers_Thickness_Cycle_4,Max_Interlayer_Thickness_Cycle_4
1PA0001AL,2286.0,2512.0,226.0,139.0,38.495575221238944,14.0,6.214285714285714,14.0,1797.0,1893.0,96.0,71.0,26.041666666666664,3.0,8.333333333333334,20.0,,,,,,,,,1468.0,1656.0,188.0,86.0,54.255319148936174,4.0,25.5,57.0,,,,,,,,,,,,,,,,
1PE0002AL,1977.0,2201.0,224.0,91.0,59.375,12.0,11.083333333333334,35.0,,,,,,,,,1618.0,1916.0,298.0,190.0,36.241610738255034,21.0,5.142857142857143,13.0,,,,,,,,,1395.0,1470.0,75.0,43.0,42.666666666666664,1.0,32.0,32.0,,,,,,,,
1RD0002AL,1461.0,1471.0,10.0,10.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1RD0003AL,1424.0,1724.0,300.0,107.0,64.33333333333333,16.0,12.0625,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2PEST0001AL,1525.5,1706.5,181.0,46.0,74.58563535911603,7.0,19.285714285714285,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1FGT0001AL,2677.0,2859.0,182.0,44.0,75.82417582417582,4.0,34.5,79.0,2184.0,2252.0,68.0,36.0,47.05882352941176,3.0,10.666666666666666,30.0,,,,,,,,,1629.0,1796.0,167.0,97.0,41.91616766467065,9.0,7.777777777777778,21.0,,,,,,,,,,,,,,,,
3FGT0003AL,2697.0,2916.0,219.0,61.0,72.14611872146119,9.0,17.555555555555557,47.0,2240.0,2305.0,65.0,47.0,27.692307692307693,2.0,9.0,15.0,,,,,,,,,1923.0,2149.0,226.0,109.0,51.76991150442478,18.0,6.5,23.0,,,,,,,,,1269.0,1465.0,196.0,116.0,40.816326530612244,9.0,8.88888888888889,26.0
3FGT0004AL,2555.0,2869.0,314.0,87.0,72.29299363057325,15.0,15.133333333333333,64.0,2212.0,2296.0,84.0,49.0,41.666666666666664,5.0,7.0,25.0,,,,,,,,,1608.0,1838.0,230.0,123.0,46.52173913043478,14.0,7.642857142857143,21.0,,,,,,,,,,,,,,,,
1CPA0001AL,,,,,,,,,,,,,,,,,,,,,,,,,1366.0,1396.0,30.0,30.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
1MPE0003AL,1551.0,1659.0,108.0,38.0,64.81481481481481,11.0,6.363636363636363,22.0,1423.0,1448.0,25.0,23.0,7.9999999999999964,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
