WELL,FROM,TO,LITO,Ciclos_Evaporiticos
1PA0001AL,0.0,30.0,Sand,
1PA0001AL,30.0,35.0,Clay,
1PA0001AL,35.0,39.0,Sand,
1PA0001AL,39.0,45.0,Clay,
1PA0001AL,45.0,77.0,Sand,
1PA0001AL,77.0,80.0,Carbonate,
1PA0001AL,80.0,82.0,Shale,
1PA0001AL,82.0,85.0,Carbonate,
1PA0001AL,85.0,87.0,Shale,
1PA0001AL,87.0,137.0,Carbonate,
1PA0001AL,137.0,154.0,Sandstone,
1PA0001AL,154.0,168.0,Carbonate,
1PA0001AL,168.0,170.0,Sandstone,
1PA0001AL,170.0,172.0,Shale,
1PA0001AL,172.0,190.0,Sandstone,
1PA0001AL,190.0,195.0,Shale,
1PA0001AL,195.0,215.0,Sandstone,
1PA0001AL,215.0,230.0,Siltstone,
1PA0001AL,230.0,233.0,Shale,
1PA0001AL,233.0,238.0,Sandstone,
1PA0001AL,238.0,240.0,Shale,
1PA0001AL,240.0,274.0,Sandstone,
1PA0001AL,274.0,276.0,Shale,
1PA0001AL,276.0,313.0,Sandstone,
1PA0001AL,313.0,315.0,Shale,
1PA0001AL,315.0,318.0,Sandstone,
1PA0001AL,318.0,320.0,Shale,
1PA0001AL,320.0,323.0,Sandstone,
1PA0001AL,323.0,325.0,Shale,
1PA0001AL,325.0,330.0,Sandstone,
1PA0001AL,330.0,332.0,Shale,
1PA0001AL,332.0,335.0,Sandstone,
1PA0001AL,335.0,364.0,Conglomerate,
1PA0001AL,364.0,370.0,Shale,
1PA0001AL,370.0,376.0,Sandstone,
1PA0001AL,376.0,381.0,Shale,
1PA0001AL,381.0,420.0,Sandstone,
1PA0001AL,420.0,445.0,Conglomerate,
1PA0001AL,445.0,462.0,Shale,
1PA0001AL,462.0,466.0,Siltstone,
1PA0001AL,466.0,475.0,Sandstone,
1PA0001AL,475.0,483.0,Shale,
1PA0001AL,483.0,491.0,Sandstone,
1PA0001AL,491.0,495.0,Shale,
1PA0001AL,495.0,499.0,Sandstone,
1PA0001AL,499.0,503.0,Shale,
